date,slope,standard_error,lower_95,upper_95,r_squared,observations
1980-06-30,-1.1110359185975014,0.21309523893284885,-1.5287025869058852,-0.6933692502891177,0.41703224882699164,40
1980-09-30,-1.1338953067118605,0.2076098201370627,-1.5408105541805033,-0.7269800592432176,0.43977413909084784,40
1980-12-31,-1.1526873148676295,0.20394467749006223,-1.5524188827481515,-0.7529557469871075,0.45671335380795874,40
1981-03-31,-1.199007321039209,0.20068585571747263,-1.5923515982454552,-0.8056630438329626,0.4843628024440524,40
1981-06-30,-1.260213080626656,0.20002355261517768,-1.6522592437524044,-0.8681669175009078,0.510902219098136,40
1981-09-30,-1.2724469097673234,0.1949326072294328,-1.6545148199370119,-0.8903789995976351,0.5285937932573344,40
1981-12-31,-1.2863644396863236,0.18303089478189097,-1.64510499345883,-0.9276238859138173,0.5651903983582676,40
1982-03-31,-1.3254978074423518,0.16981312893965939,-1.6583315401640841,-0.9926640747206195,0.6158814823686285,40
1982-06-30,-1.3220212584439868,0.15455970585671983,-1.6249582819231576,-1.019084234964816,0.6581559132688767,40
1982-09-30,-1.3166283436069708,0.13868215978372814,-1.588445376783078,-1.0448113104308636,0.7034338146717716,40
1982-12-31,-1.2725286766524497,0.12605638814566147,-1.5195991974179461,-1.0254581558869533,0.7283916498033411,40
1983-03-31,-1.2558836241868836,0.11961861310172431,-1.4903361058662632,-1.021431142507504,0.7436422798739966,40
1983-06-30,-1.2090235318281133,0.12037976491710353,-1.4449678710656362,-0.9730791925905904,0.7263630164933581,40
1983-09-30,-1.189801392066493,0.12226375991114656,-1.4294383614923403,-0.9501644226406457,0.713641422684637,40
1983-12-31,-1.154106036747671,0.12781154417051666,-1.4046166633218835,-0.9035954101734583,0.6821050645004403,40
1984-03-31,-1.105369429593315,0.13591465217802262,-1.3717621478622393,-0.8389767113243907,0.6351162735278393,40
1984-06-30,-1.0876926313185946,0.14228366252804295,-1.3665686098735588,-0.8088166527636305,0.6059682787212191,40
1984-09-30,-1.0677592025247393,0.14631269606181133,-1.3545320868058894,-0.7809863182435891,0.5835969007358802,40
1984-12-31,-1.0496093773819481,0.14537256834579582,-1.3345396113397079,-0.7646791434241884,0.5783883202506628,40
1985-03-31,-1.0580624858548977,0.14410234348498308,-1.3405030790854644,-0.7756218926243309,0.5865583236115363,40
1985-06-30,-1.057308533637086,0.14573758103042778,-1.3429541924567245,-0.7716628748174476,0.5807279207659608,40
1985-09-30,-1.0426961194545743,0.14520031939458822,-1.3272887454679672,-0.7581034934411814,0.5757413828676669,40
1985-12-31,-1.0219823213358301,0.14080171204701494,-1.2979536769479794,-0.7460109657236809,0.5809580651509859,40
1986-03-31,-1.0142990169430783,0.13280490300429812,-1.2745966268315025,-0.754001407054654,0.6055291806182175,40
1986-06-30,-1.0103002826983791,0.13232968341499945,-1.2696664621917781,-0.7509341032049802,0.6053546019456033,40
1986-09-30,-1.0005694038810924,0.13310950204695862,-1.2614640278931313,-0.7396747798690535,0.5978990271921905,40
1986-12-31,-0.9891947471082498,0.1349054560474043,-1.2536094409611622,-0.7247800532553375,0.5859015139587391,40
1987-03-31,-0.9857339062437415,0.1344866717512138,-1.2493277828761205,-0.7221400296113625,0.5857095047855563,40
1987-06-30,-0.9981879448618822,0.13479840492147216,-1.2623928185079676,-0.7339830712157969,0.5906701113015856,40
1987-09-30,-1.0124356113538204,0.13496231678968443,-1.276961752261602,-0.747909470446039,0.5969207193956414,40
1987-12-31,-1.022646900848398,0.13407883696004277,-1.285441421290082,-0.7598523804067142,0.6048839272753049,40
1988-03-31,-1.0206342666808574,0.1331331767197648,-1.2815752930515965,-0.7596932403101184,0.6073229119603458,40
1988-06-30,-1.003322761891984,0.13494952139095467,-1.267823823818255,-0.7388216999657129,0.5926080125268296,40
1988-09-30,-0.9690676545910145,0.13715272923676738,-1.2378870038950787,-0.7002483052869504,0.5678028622588358,40
1988-12-31,-0.9253195466472802,0.13826490374869024,-1.196318757994713,-0.6543203352998473,0.5409950743199814,40
1989-03-31,-0.8824132692872175,0.13722359005398996,-1.1513715057930378,-0.6134550327813972,0.5211153269976072,40
1989-06-30,-0.8471491155093787,0.13583034591867904,-1.1133765935099895,-0.5809216375087678,0.5058382347142106,40
1989-09-30,-0.7934650446190588,0.13409886953036532,-1.0562988288985748,-0.5306312603395427,0.4795309697541531,40
1989-12-31,-0.7409382627191131,0.13155286647684752,-0.9987818810137343,-0.48309464442449196,0.4549799718178392,40
1990-03-31,-0.6943202798015021,0.12114314224184536,-0.9317608385955191,-0.4568797210074852,0.4636479708882396,40
1990-06-30,-0.672013979198702,0.11102732671552158,-0.8896275395611243,-0.4544004188362797,0.4908558722452895,40
1990-09-30,-0.6810542796044455,0.11020234150217156,-0.8970508689487018,-0.4650576902601893,0.5012653895980488,40
1990-12-31,-0.6921039370156721,0.11189121955660564,-0.9114107273466191,-0.47279714668472506,0.5017079519129076,40
1991-03-31,-0.6901446587467653,0.10747472781553903,-0.9007951252652219,-0.4794941922283088,0.5204148524806667,40
