date,actual_inflation,model_forecast,naive_forecast,model_error,naive_error
1986-12-31,1.346146186031542,1.5210425759850121,1.6681579718071122,-0.17489638995347012,-0.3220117857755702
1987-03-31,2.040206267080813,1.2238570773965423,1.346146186031542,0.8163491896842707,0.694060081049271
1987-06-30,3.699097461524614,1.9787811909095212,2.040206267080813,1.720316270615093,1.6588911944438012
1987-09-30,4.162663026626631,3.7135872223484463,3.699097461524614,0.4490758042781846,0.46356556510201674
1987-12-31,4.405610783182734,4.228891979738469,4.162663026626631,0.17671880344426505,0.24294775655610312
1988-03-31,3.9657684219989093,4.502317668471353,4.405610783182734,-0.5365492464724433,-0.4398423611838247
1988-06-30,3.979986700878772,4.089247266831484,3.9657684219989093,-0.10926056595271216,0.014218278879862822
1988-09-30,4.142289572369573,4.148573709749056,3.979986700878772,-0.006284137379482857,0.1623028714908008
1988-12-31,4.3062449303434756,4.305153550730898,4.142289572369573,0.0010913796125775477,0.1639553579739026
1989-03-31,4.6742075173991315,4.491747958843247,4.3062449303434756,0.1824595585558848,0.367962587055656
1989-06-30,5.16007232097911,4.881197453465727,4.6742075173991315,0.278874867513383,0.48586480357997885
1989-09-30,4.706762107416984,5.3522603662519534,5.16007232097911,-0.6454982588349694,-0.4533102135621263
1989-12-31,4.62726245901192,4.895696252423753,4.706762107416984,-0.26843379341183304,-0.07949964840506407
1990-03-31,5.232831190776925,4.78307393186479,4.62726245901192,0.44975725891213525,0.6055687317650049
1990-06-30,4.5835556718683,5.394384081075488,5.232831190776925,-0.810828409207188,-0.6492755189086248
1990-09-30,5.563986716095148,4.7369242831009295,4.5835556718683,0.8270624329942189,0.9804310442268482
1990-12-31,6.276642343789729,5.628476822144273,5.563986716095148,0.6481655216454563,0.7126556276945806
1991-03-31,5.260236559631637,6.23996995876814,6.276642343789729,-0.9797333991365029,-1.016405784158092
1991-06-30,4.846902272359806,5.128229755822978,5.260236559631637,-0.2813274834631718,-0.4133342872718311
1991-09-30,3.854478201437598,4.665438516098231,4.846902272359806,-0.8109603146606328,-0.9924240709222079
1991-12-31,2.965256194834017,3.6685942129027347,3.854478201437598,-0.7033380180687177,-0.889222006603581
1992-03-31,2.8938359559324005,2.7283050430368716,2.965256194834017,0.1655309128955289,-0.07142023890161653
1992-06-30,3.073710745857028,2.599074187110403,2.8938359559324005,0.4746365587466248,0.17987478992462735
1992-09-30,3.0748310601753723,2.73230233809986,3.073710745857028,0.34252872207551244,0.001120314318344473
1992-12-31,3.1223542430255975,2.7309094058751944,3.0748310601753723,0.3914448371504031,0.047523182850225165
1993-03-31,3.173319946081321,2.839778870069524,3.1223542430255975,0.33354107601179717,0.050965703055723566
1993-06-30,3.125143812652253,2.939711294199473,3.173319946081321,0.18543251845277986,-0.04817613342906801
1993-09-30,2.817293781669387,2.905519387540812,3.125143812652253,-0.08822560587142503,-0.30785003098286623
1993-12-31,2.7692674756749853,2.653549491743248,2.817293781669387,0.11571798393173749,-0.0480263059944015
1994-03-31,2.5394943820659766,2.638834497679197,2.7692674756749853,-0.09934011561322054,-0.22977309360900877
1994-06-30,2.382561899555561,2.4217355416548108,2.5394943820659766,-0.03917364209924967,-0.15693248251041547
1994-09-30,2.855010555094472,2.3395796430046616,2.382561899555561,0.5154309120898106,0.47244865553891113
1994-12-31,2.603344144440034,2.847033290936332,2.855010555094472,-0.24368914649629803,-0.2516664106544382
1995-03-31,2.840339553572931,2.6697765996455836,2.603344144440034,0.17056295392734766,0.23699540913289718
1995-06-30,3.095413472227001,2.9346588744723188,2.840339553572931,0.16075459775468204,0.2550739186540696
1995-09-30,2.6642831094231934,3.1407176007150923,3.095413472227001,-0.47643449129189896,-0.43113036280380745
1995-12-31,2.6264758134387334,2.709437613643833,2.6642831094231934,-0.08296180020509958,-0.037807295984459977
1996-03-31,2.783881388262851,2.688462995025759,2.6264758134387334,0.09541839323709178,0.15740557482411743
1996-06-30,2.827094774662779,2.8470594571563526,2.783881388262851,-0.019964682493573527,0.04321338639992822
1996-09-30,2.900074323344389,2.8925543349704923,2.827094774662779,0.00751998837389678,0.07297954868161005
1996-12-31,3.231265700211187,3.009286658936132,2.900074323344389,0.22197904127505508,0.3311913768667978
1997-03-31,2.9452232362230752,3.318867500454049,3.231265700211187,-0.37364426423097363,-0.2860424639881116
1997-06-30,2.3019186506632927,3.0526136198419396,2.9452232362230752,-0.7506949691786469,-0.6433045855597825
1997-09-30,2.225028454311606,2.459263940190113,2.3019186506632927,-0.23423548587850673,-0.07689019635168659
1997-12-31,1.8911240605164286,2.4056634917336295,2.225028454311606,-0.5145394312172009,-0.33390439379517756
1998-03-31,1.4826793214697487,2.109560249516488,1.8911240605164286,-0.6268809280467393,-0.4084447390466799
